Index,Value
0,90
1,55
2,66
3,54
4,77
5,81
6,97
7,29
8,18
9,36
10,74
11,47
12,47
13,45
14,22
15,65
16,12
17,55
18,37
19,19
20,86
21,1
22,99
23,33
24,99
25,99
26,62
27,65
28,23
29,51
30,14
31,18
32,73
33,74
34,31
35,94
36,28
37,55
38,17
39,90
40,19
41,24
42,69
43,26
44,96
45,54
46,33
47,89
48,49
49,5
50,47
51,84
52,36
53,24
54,36
55,81
56,18
57,46
58,53
59,43
60,95
61,94
62,60
63,30
64,29
65,8
66,51
67,4
68,84
69,2
70,88
71,54
72,42
73,51
74,38
75,17
76,86
77,5
78,14
79,74
80,35
81,19
82,72
83,61
84,8
85,38
86,9
87,64
88,36
89,28
90,86
91,39
92,80
93,84
94,78
95,99
96,83
97,39
98,35
99,44
100,2
101,88
102,68
103,70
104,2
105,5
106,88
107,88
108,97
109,23
110,37
111,37
112,85
113,47
114,20
115,72
116,23
117,16
118,18
119,80
120,25
121,23
122,66
123,14
124,62
125,79
126,72
127,45
128,61
129,79
130,0
131,41
132,83
133,29
134,51
135,36
136,81
137,86
138,94
139,99
140,1
141,27
142,42
143,20
144,46
145,78
146,81
147,6
148,45
149,95
150,24
151,73
152,60
153,19
154,56
155,27
156,71
157,55
158,45
159,31
160,62
161,40
162,5
163,60
164,58
165,45
166,92
167,35
168,40
169,82
170,32
171,12
172,47
173,77
174,57
175,91
176,71
177,60
178,22
179,34
180,99
181,24
182,42
183,14
184,14
185,57
186,37
187,61
188,26
189,57
190,78
191,21
192,17
193,55
194,39
195,11
196,34
197,33
198,5
199,9
200,96
201,9
202,2
203,46
204,27
205,81
206,37
207,2
208,7
209,39
210,75
211,84
212,47
213,86
214,25
215,84
216,94
217,10
218,42
219,91
220,91
221,43
222,81
223,11
224,91
225,33
226,51
227,16
228,71
229,43
230,81
231,4
232,22
233,13
234,19
235,75
236,71
237,78
238,15
239,18
240,12
241,18
242,70
243,51
244,67
245,15
246,32
247,49
248,41
249,45
250,49
251,39
252,65
253,10
254,16
255,80
256,18
257,18
258,97
259,32
260,39
261,66
262,68
263,33
264,61
265,92
266,52
267,23
268,76
269,52
270,73
271,12
272,32
273,65
274,69
275,81
276,75
277,59
278,49
279,38
280,28
281,66
282,93
283,94
284,33
285,37
286,54
287,49
288,78
289,81
290,52
291,30
292,52
293,88
294,2
295,63
296,69
297,46
298,0
299,72
300,63
301,74
302,39
303,37
304,65
305,37
306,96
307,99
308,17
309,36
310,3
311,34
312,13
313,62
314,45
315,65
316,93
317,42
318,69
319,91
320,66
321,9
322,27
323,2
324,69
325,84
326,80
327,43
328,24
329,92
330,10
331,92
332,97
333,56
334,25
335,34
336,61
337,78
338,79
339,41
340,82
341,71
342,57
343,15
344,65
345,43
346,60
347,48
348,61
349,77
350,27
351,62
352,18
353,41
354,88
355,91
356,16
357,20
358,15
359,69
360,54
361,95
362,45
363,87
364,38
365,45
366,12
367,36
368,39
369,13
370,58
371,30
372,84
373,1
374,80
375,3
376,75
377,14
378,35
379,81
380,45
381,61
382,42
383,2
384,3
385,38
386,91
387,86
388,77
389,74
390,92
391,44
392,40
393,38
394,77
395,83
396,58
397,18
398,89
399,77
400,67
401,95
402,46
403,84
404,58
405,12
406,98
407,82
408,51
409,62
410,16
411,25
412,65
413,9
414,84
415,40
416,67
417,5
418,95
419,80
420,25
421,19
422,36
423,36
424,65
425,14
426,4
427,29
