Index,Value
0,83
1,76
2,61
3,35
4,90
5,89
6,21
7,10
8,26
9,92
10,31
11,46
12,93
13,48
14,99
15,66
16,78
17,5
18,58
19,65
20,24
21,99
22,83
23,28
24,63
25,55
26,58
27,47
28,13
29,69
30,75
31,28
32,77
33,80
34,9
35,39
36,22
37,41
38,52
39,80
40,74
41,72
42,81
43,25
44,89
45,58
46,22
47,73
48,16
49,11
50,9
51,94
52,36
53,70
54,27
55,96
56,84
57,65
58,10
59,46
60,87
61,65
62,55
63,38
64,10
65,92
66,78
67,72
68,99
69,85
70,38
71,86
72,94
73,59
74,43
75,81
76,64
77,2
78,32
79,84
80,21
81,53
82,71
83,50
84,92
85,77
86,67
87,46
88,35
89,6
90,9
91,18
92,25
93,21
94,90
95,66
96,88
97,66
98,75
99,56
100,31
101,28
102,92
103,60
104,36
105,91
106,1
107,12
108,67
109,39
110,93
111,99
112,17
113,95
114,64
115,25
116,27
117,29
118,16
119,26
120,66
121,85
122,74
123,22
124,36
125,84
126,9
127,71
128,38
129,23
130,24
131,11
132,59
133,18
134,12
135,43
136,56
137,61
138,38
139,64
140,2
141,4
142,79
143,44
144,51
145,60
146,41
147,23
148,83
149,15
150,94
151,37
152,38
153,60
154,63
155,66
156,73
157,20
158,15
159,78
160,46
161,60
162,13
163,61
164,57
165,71
166,12
167,2
168,88
169,26
170,55
171,73
172,15
173,53
174,30
175,18
176,20
177,78
178,36
179,74
180,22
181,87
182,87
183,64
184,19
185,22
186,72
187,29
188,45
189,82
190,0
191,34
192,20
193,37
194,17
195,54
196,75
197,35
198,62
199,17
200,71
201,85
202,82
203,96
204,14
205,6
206,69
207,96
208,63
209,96
210,86
211,85
212,6
213,27
214,55
215,30
216,86
217,50
218,11
219,9
220,6
221,67
222,89
223,16
224,87
225,94
226,14
227,63
228,59
229,29
230,3
231,58
232,40
233,10
234,5
235,79
236,8
237,97
238,90
239,3
240,48
241,8
242,51
243,20
244,69
245,91
246,58
247,75
248,15
249,4
250,78
251,4
252,14
253,3
254,71
255,49
256,60
257,62
258,22
259,49
260,30
261,51
262,76
263,36
264,21
265,34
266,20
267,7
268,22
269,92
270,97
271,86
272,47
273,43
274,67
275,25
276,98
277,94
278,47
279,18
280,39
281,88
282,93
283,0
284,62
285,0
286,39
287,96
288,93
289,20
290,16
291,78
292,48
293,23
294,21
295,81
