Index,Value
0,28
1,4
2,49
3,48
4,68
5,95
6,15
7,78
8,53
9,68
10,16
11,17
12,37
13,93
14,4
15,74
16,43
17,0
18,55
19,28
20,39
21,28
22,25
23,22
24,5
25,4
26,46
27,1
28,71
29,49
30,12
31,57
32,87
33,19
34,91
35,74
36,83
37,34
38,30
39,46
40,77
41,16
42,47
43,57
44,8
45,0
46,80
47,61
48,56
49,49
50,12
51,82
52,12
53,4
54,25
55,67
56,62
57,93
58,1
59,65
60,70
61,82
62,2
63,44
64,62
65,41
66,91
67,16
68,74
69,67
70,63
71,77
72,92
73,64
74,37
75,91
76,67
77,94
78,39
79,76
80,27
81,73
82,51
83,1
84,12
85,0
86,18
87,58
88,32
89,47
90,97
91,37
92,75
93,52
94,22
95,98
96,87
97,12
98,37
99,76
100,21
101,65
102,27
103,60
104,36
105,12
106,58
107,21
108,95
109,85
110,52
111,5
112,96
113,68
114,20
115,92
116,41
117,16
118,34
119,11
120,56
121,40
122,92
123,69
124,79
125,91
126,28
127,90
128,86
129,73
130,40
131,29
132,54
133,52
134,26
135,5
136,93
137,32
138,7
139,32
140,90
141,81
142,64
143,23
144,81
145,12
146,31
147,7
148,25
149,46
150,46
151,98
152,82
153,83
154,51
155,43
156,0
157,81
158,58
159,60
160,73
161,0
162,95
163,61
164,11
165,40
166,68
167,39
168,70
169,67
170,81
171,31
172,91
173,0
174,42
175,52
176,51
177,50
178,5
179,36
180,72
181,93
182,62
183,76
184,43
185,1
186,41
187,35
188,45
189,22
190,76
191,86
192,66
193,93
194,8
195,19
196,48
197,89
198,23
199,71
200,90
201,1
202,39
203,15
204,21
205,82
206,27
207,8
208,92
209,54
210,49
211,66
212,1
213,78
214,25
215,34
216,80
217,43
218,7
219,29
220,90
221,46
222,26
223,24
224,10
225,86
226,58
227,91
228,61
229,33
230,2
231,78
232,60
233,4
234,61
235,47
236,14
237,37
238,40
239,27
240,91
241,98
242,65
243,88
244,46
245,90
246,62
247,76
248,73
249,63
250,40
251,86
252,38
253,95
254,29
255,28
256,25
257,27
258,87
259,18
260,91
261,23
262,72
263,36
264,68
265,62
266,94
267,18
268,34
269,11
270,39
271,16
272,38
273,81
274,33
275,3
276,36
277,86
278,76
279,54
280,51
281,13
282,33
283,0
284,51
285,89
286,24
287,44
288,4
289,44
290,41
291,26
292,89
293,29
294,84
295,46
296,6
297,91
298,0
299,96
300,50
301,44
302,58
303,47
304,48
305,85
306,56
307,55
308,96
309,41
310,55
311,38
312,52
313,26
314,97
315,10
316,42
317,82
318,88
319,66
320,45
321,67
322,74
323,99
324,77
325,88
326,78
327,44
328,80
329,3
330,18
331,10
332,44
333,60
334,93
335,44
336,59
337,69
338,88
339,59
340,7
341,37
342,61
343,70
344,29
345,91
346,71
347,44
348,48
349,20
350,16
351,79
352,29
353,64
354,99
355,41
356,90
357,48
358,29
359,86
360,71
361,87
362,66
363,74
364,27
365,34
366,28
367,6
368,21
369,15
370,28
371,44
372,46
373,67
374,54
375,48
376,98
377,23
378,26
379,58
380,17
381,30
382,71
383,88
384,24
385,42
386,70
387,19
388,10
389,87
390,7
391,7
392,68
393,59
394,74
395,66
396,42
397,14
398,50
399,31
400,67
401,52
402,40
403,14
404,39
405,64
406,28
407,15
408,95
409,3
410,9
411,34
412,20
413,32
414,18
415,30
416,28
417,85
418,51
419,43
420,23
421,35
422,83
423,69
424,14
425,74
426,87
427,4
428,10
429,78
430,71
431,57
432,77
433,53
434,17
435,94
436,19
437,49
438,60
439,27
440,71
441,0
442,77
443,43
444,89
445,19
446,14
447,47
448,33
449,60
450,41
451,54
452,0
453,46
454,61
455,11
456,19
457,61
458,3
459,80
460,27
461,92
462,93
463,91
464,42
465,3
466,31
467,95
468,91
469,65
470,28
471,53
472,1
473,11
474,8
475,18
476,69
477,44
478,95
479,61
480,65
481,5
482,97
483,9
484,17
485,15
486,93
487,98
488,29
489,31
490,44
491,36
492,17
493,98
494,24
495,47
496,75
497,34
498,16
499,74
500,71
501,77
502,49
503,84
504,59
505,57
506,38
507,36
508,40
509,97
510,5
511,12
512,84
513,75
514,52
515,51
516,60
517,69
518,79
519,35
520,88
521,76
522,87
523,55
524,74
525,17
526,67
527,81
528,93
529,38
530,16
531,28
532,7
533,49
534,33
535,9
536,85
537,60
538,24
539,4
540,98
541,20
542,57
543,12
544,85
545,65
546,31
547,21
548,24
549,44
550,3
551,13
552,90
553,92
554,72
555,11
556,93
557,96
558,3
559,26
560,19
561,29
562,4
563,27
564,53
565,98
566,80
567,83
568,46
569,25
570,57
571,52
572,15
573,78
574,40
575,83
576,65
577,47
578,86
579,67
580,19
581,48
582,76
583,64
584,57
585,90
586,9
587,74
588,83
589,21
590,62
591,88
592,50
593,32
594,3
595,19
596,11
597,57
598,24
599,33
600,15
601,27
602,11
603,93
604,20
605,22
606,83
607,0
608,12
609,81
610,48
611,27
612,59
613,38
614,5
615,81
616,58
617,82
618,65
619,36
620,45
621,56
622,44
623,91
624,41
625,7
626,71
627,86
628,10
629,43
630,98
631,78
632,87
633,31
634,13
635,57
636,34
637,2
638,64
639,33
640,23
641,32
642,83
643,82
644,85
645,45
646,51
647,46
648,48
649,19
650,38
651,23
652,83
653,33
654,28
655,3
656,68
657,19
658,31
659,45
660,31
661,58
662,15
663,14
664,51
665,57
666,3
667,2
668,96
669,41
670,90
671,49
672,58
673,91
674,37
675,21
676,8
677,17
678,25
679,39
680,17
681,9
682,74
683,16
684,14
685,91
686,55
687,19
688,29
689,24
690,10
691,66
692,51
693,85
694,50
695,76
696,84
697,52
698,55
699,74
700,87
701,20
702,95
703,35
704,10
705,51
706,54
707,69
708,28
709,56
710,99
711,20
712,0
713,83
714,1
715,50
716,75
717,5
718,6
719,13
720,89
721,61
722,98
723,35
724,31
725,52
726,38
727,80
728,64
729,26
730,21
731,39
732,63
733,32
734,22
735,53
736,32
737,14
738,4
739,25
740,81
741,91
742,81
743,3
744,98
745,73
746,14
747,76
748,20
749,93
750,55
751,70
752,57
753,13
754,52
755,87
756,66
757,94
758,11
759,28
760,24
761,93
762,63
763,59
764,19
765,25
766,73
767,74
768,47
769,5
770,19
771,18
772,10
773,55
774,38
775,58
776,46
777,26
778,76
779,87
780,69
781,56
782,19
783,2
784,8
785,39
786,37
787,98
788,13
789,91
790,27
791,62
792,98
793,91
794,31
795,59
796,81
797,75
798,63
799,71
800,44
801,94
802,26
803,42
804,1
805,11
806,33
807,43
808,68
809,85
810,78
811,94
812,10
813,26
814,18
815,68
816,92
817,39
818,20
819,65
820,51
821,80
822,92
823,55
824,9
825,90
826,6
827,54
828,62
829,25
830,91
831,52
832,70
833,89
834,16
835,8
836,80
837,33
838,73
839,96
840,69
841,64
842,65
843,45
844,91
845,37
846,66
847,7
848,40
849,24
850,71
851,34
852,48
853,76
854,38
855,19
856,28
857,78
858,52
859,10
860,13
861,69
862,59
863,77
864,70
865,75
866,67
867,33
868,58
869,70
870,3
871,24
872,61
873,57
874,99
875,62
876,1
877,41
878,24
879,44
880,2
881,49
882,56
883,9
884,11
885,47
886,31
887,15
888,49
889,46
890,22
891,30
892,30
893,50
894,54
895,38
896,72
897,73
898,70
899,10
900,7
901,94
902,15
903,86
904,20
905,53
906,31
907,82
908,53
909,56
910,14
911,39
912,3
913,51
914,7
915,8
916,28
917,27
918,17
919,36
920,25
921,94
922,32
923,54
924,65
925,14
926,12
927,67
928,84
929,80
930,56
931,18
932,87
933,60
934,11
935,62
936,83
937,62
938,64
939,89
940,32
941,89
942,11
943,0
944,46
945,72
946,82
947,20
948,12
949,7
950,89
951,91
952,28
953,29
954,26
955,15
956,62
957,51
958,2
959,1
960,75
961,66
962,26
963,66
964,87
965,42
966,28
967,16
968,41
969,30
970,53
971,53
972,36
973,22
974,56
975,91
976,59
977,79
978,61
979,72
980,69
981,89
982,38
983,51
984,1
985,97
986,8
987,53
988,11
989,42
990,18
991,30
992,48
993,70
994,93
995,82
996,0
997,93
998,95
999,41
