Index,Value
0,88
1,44
2,4
3,35
4,24
5,86
6,42
7,62
8,2
9,0
10,77
11,79
12,12
13,79
14,10
15,36
16,19
17,98
18,4
19,45
20,76
21,48
22,70
23,29
24,89
25,54
26,47
27,72
28,51
29,71
30,37
31,15
32,99
33,56
34,94
35,90
36,21
37,24
38,92
39,15
40,15
41,99
42,53
43,51
44,11
45,11
46,66
47,99
48,25
49,62
50,12
51,24
52,40
53,59
54,16
55,64
56,2
57,28
58,62
59,3
60,19
61,13
62,12
63,6
64,48
65,54
66,2
67,6
68,97
69,78
70,4
71,21
72,23
73,54
74,95
75,20
76,90
77,39
78,51
79,79
80,54
81,39
82,24
83,22
84,68
85,86
86,68
87,2
88,88
89,20
90,54
91,58
92,23
93,25
94,35
95,0
96,28
97,19
98,1
99,28
100,2
101,46
102,14
103,84
104,46
105,6
106,26
107,50
108,14
109,15
110,54
111,54
112,60
113,5
114,12
115,85
116,43
117,69
118,14
119,31
120,20
121,39
122,45
123,2
124,71
125,20
126,15
127,21
128,85
129,65
130,7
131,82
132,0
133,71
134,50
135,28
136,59
137,8
138,89
139,82
140,30
141,32
142,31
143,72
144,63
145,2
146,98
147,85
148,43
149,16
150,85
151,98
152,86
153,29
154,63
155,0
156,21
157,98
158,81
159,37
160,97
161,34
162,9
163,75
164,80
165,56
166,6
167,95
168,30
169,43
170,63
171,72
172,7
173,96
174,24
175,42
176,77
177,95
178,71
179,40
180,70
181,94
182,67
183,31
184,90
185,27
186,75
187,72
188,62
189,27
190,74
191,41
192,42
193,49
194,64
195,12
196,11
197,31
198,64
199,80
200,89
201,4
202,8
203,42
204,53
205,93
206,96
207,39
208,54
209,42
210,78
211,59
212,31
213,77
214,18
215,54
216,32
217,53
218,74
219,59
220,94
221,71
222,45
223,36
224,43
225,82
226,59
227,51
228,87
229,15
230,47
231,48
232,87
233,95
234,55
235,91
236,79
237,79
238,1
239,23
240,47
241,93
242,98
243,24
244,29
245,54
246,38
247,86
248,90
249,16
250,13
251,96
252,89
253,72
254,30
255,85
256,82
257,23
258,33
259,74
260,90
261,24
262,91
263,79
264,24
265,89
266,24
267,19
268,85
269,58
270,59
271,67
272,13
273,65
274,28
275,39
276,48
277,59
278,81
279,50
280,42
281,83
282,1
283,62
284,89
285,74
286,92
287,26
288,6
289,13
290,71
291,57
292,15
293,85
294,75
295,84
296,21
297,26
298,14
299,80
300,26
301,28
302,76
303,95
304,31
305,74
306,57
307,45
308,68
309,78
310,65
311,41
312,53
313,8
314,61
315,54
316,81
317,79
318,71
319,87
320,12
321,49
322,45
323,25
324,31
325,92
326,55
327,27
328,22
329,51
330,23
331,75
332,23
333,23
334,98
335,33
336,91
337,58
338,15
339,85
340,54
341,0
342,51
343,49
344,41
345,81
346,75
347,48
348,49
349,94
350,23
351,0
352,30
353,69
354,80
355,50
356,87
357,26
358,15
359,63
360,51
361,36
362,15
363,84
364,87
365,25
366,46
367,38
368,44
369,89
370,79
371,35
372,67
373,36
374,15
375,29
376,77
377,94
378,18
379,48
380,33
381,8
382,58
383,84
384,98
385,64
386,58
387,5
388,49
389,23
390,72
391,98
392,74
393,2
394,38
395,22
396,49
397,59
398,35
399,78
400,69
401,99
402,57
403,86
404,77
405,75
406,45
407,85
408,52
409,98
410,30
411,1
412,6
413,76
414,99
415,36
416,84
417,24
418,75
419,90
420,70
421,75
422,1
423,8
424,37
425,39
426,98
427,63
428,68
429,73
430,80
431,41
432,74
433,77
434,96
435,36
436,2
437,34
438,51
439,22
440,13
441,53
442,96
443,30
444,41
445,31
446,83
447,86
448,54
449,39
450,67
451,81
452,10
453,7
454,42
455,80
456,67
457,7
458,57
459,7
460,99
461,24
462,25
463,17
464,58
465,69
466,5
467,5
468,98
469,20
470,36
471,20
472,34
473,23
474,45
475,67
476,12
477,63
478,1
479,13
480,92
481,44
482,83
483,96
484,11
485,92
486,24
487,82
488,67
489,55
490,7
491,37
492,37
493,17
494,28
495,29
496,25
497,60
498,36
499,17
500,68
501,81
502,12
503,28
504,1
505,88
506,65
507,94
508,69
509,19
510,60
511,9
512,29
513,10
514,24
515,81
516,43
517,10
518,71
519,27
520,55
521,98
522,35
523,9
524,15
525,55
526,69
527,6
528,56
529,61
530,88
531,97
532,98
533,93
534,89
535,79
536,35
537,55
538,55
539,25
540,10
541,24
542,81
543,22
544,36
545,45
546,58
547,62
548,55
549,62
550,13
551,25
552,58
553,10
554,16
555,91
556,82
557,59
558,52
559,49
560,91
561,5
562,66
563,44
564,0
565,33
566,62
567,0
568,78
569,80
570,65
571,59
572,64
573,48
574,19
575,10
576,65
577,46
578,55
579,18
580,27
581,56
582,2
583,7
584,78
585,47
586,74
587,2
588,88
589,77
590,47
591,63
592,53
593,85
594,75
595,79
596,99
597,84
598,10
599,50
600,16
601,47
602,16
603,73
604,58
605,16
606,22
607,18
608,67
609,14
610,21
611,33
612,10
613,1
614,78
615,96
616,82
617,8
618,62
619,28
620,30
621,81
622,94
623,67
624,26
625,25
626,5
627,85
628,51
629,11
630,84
631,65
632,2
633,36
634,98
635,64
636,6
637,23
638,10
639,4
640,41
641,41
642,17
643,64
644,67
645,6
646,4
647,7
648,20
649,39
650,55
651,2
652,56
653,23
654,14
655,96
656,64
657,88
658,41
659,38
660,41
661,70
662,80
663,37
664,40
665,17
666,70
667,42
668,78
669,88
670,61
671,44
672,59
673,51
674,83
675,36
676,8
677,49
678,28
679,33
680,33
681,39
682,17
683,98
684,31
685,23
686,94
687,59
688,59
689,40
690,88
691,84
692,89
693,24
694,57
695,49
696,2
697,72
698,52
699,93
700,68
701,88
702,72
703,77
704,50
705,55
706,2
707,55
708,61
709,33
710,61
711,6
712,21
713,8
714,41
715,72
716,29
717,78
718,58
719,59
720,50
721,8
722,45
723,80
724,28
725,52
726,5
727,97
728,19
729,28
730,70
731,39
732,73
733,28
734,48
735,18
736,15
737,24
738,5
739,39
740,88
741,72
742,43
743,43
744,33
745,36
746,73
747,37
748,89
749,14
750,10
751,37
752,39
753,54
754,13
755,9
756,39
757,9
758,48
759,70
760,40
761,7
762,90
763,69
764,98
765,17
766,79
767,7
768,99
769,90
770,68
771,80
772,84
773,4
774,45
775,30
776,25
777,97
778,92
779,22
780,34
781,99
782,97
783,25
784,5
785,31
786,51
787,60
788,32
789,72
790,90
791,68
792,56
793,1
794,96
795,89
796,12
797,96
798,75
799,31
800,5
801,70
802,34
803,0
804,69
805,29
806,93
807,50
808,85
809,45
810,78
811,75
812,26
813,97
814,41
815,92
816,58
817,4
818,71
819,42
820,53
821,8
822,1
823,23
824,66
825,37
826,27
827,86
828,96
829,33
830,16
831,94
832,63
833,42
834,63
835,16
836,77
837,48
838,12
839,65
840,48
841,21
842,34
843,37
844,88
845,27
846,75
847,42
848,55
849,84
850,4
851,27
852,80
853,61
854,12
855,57
856,88
857,14
858,43
859,64
860,37
861,44
862,45
863,10
864,57
865,91
866,35
867,78
868,83
869,51
870,15
871,48
872,4
873,76
874,9
875,75
876,48
877,53
878,74
879,55
880,62
881,20
882,1
