Index,Value
0,92
1,39
2,52
3,79
4,16
5,99
6,45
7,22
8,85
9,38
10,6
11,79
12,91
13,19
14,25
15,99
16,89
17,14
18,63
19,98
20,23
21,73
22,24
23,70
24,40
25,43
26,47
27,49
28,3
29,11
30,10
31,97
32,78
33,6
34,15
35,76
36,27
37,94
38,29
39,75
40,36
41,63
42,44
43,34
44,39
45,84
46,53
47,4
48,7
49,10
50,76
51,66
52,23
53,72
54,95
55,78
56,61
57,61
58,43
59,57
60,78
61,58
62,7
63,1
64,60
65,60
66,10
67,1
68,49
69,66
70,26
71,63
72,9
73,97
74,9
75,91
76,79
77,69
78,69
79,57
80,33
81,69
82,91
83,45
84,24
85,81
86,43
87,30
88,14
89,33
90,14
91,34
92,72
93,2
94,58
95,99
96,96
97,49
98,29
99,32
100,67
101,86
102,83
103,84
104,20
105,53
106,98
107,66
108,67
109,98
110,28
111,64
112,49
113,74
114,58
115,6
116,74
117,89
118,95
119,54
120,65
121,50
122,23
123,35
124,12
125,21
126,12
127,31
128,97
129,58
130,86
131,66
132,52
133,30
134,89
135,13
136,70
137,22
138,36
139,84
140,31
141,43
142,0
143,6
144,40
145,45
146,14
147,91
148,91
149,47
150,29
151,27
152,6
153,51
154,10
155,20
156,99
157,33
158,75
159,92
160,31
161,52
162,6
163,74
164,84
165,68
166,73
167,9
168,87
169,97
170,36
171,35
172,79
173,84
174,32
175,73
176,93
177,26
178,49
179,71
180,21
181,41
182,40
183,87
184,79
185,63
186,82
187,1
188,45
189,81
190,12
191,16
192,17
193,86
194,38
195,16
196,69
197,36
198,52
199,91
200,71
201,22
202,94
203,53
204,66
205,77
206,63
207,30
208,67
209,31
210,66
211,24
212,52
213,99
214,36
215,61
216,24
217,5
218,34
219,77
220,70
221,63
222,67
223,71
224,22
225,80
226,69
227,76
228,18
229,75
230,8
231,47
232,59
233,29
234,85
235,34
236,55
237,15
238,30
239,65
240,90
241,97
242,20
243,14
244,89
245,84
246,49
247,63
248,44
249,19
250,37
251,90
252,79
253,55
254,5
255,89
256,10
257,80
258,96
259,91
260,93
261,25
262,27
263,30
264,92
265,38
266,67
267,28
268,58
269,55
270,77
271,2
272,3
273,33
274,84
275,20
276,3
277,22
278,2
279,23
280,32
281,53
282,71
283,50
284,57
285,22
286,95
287,91
288,94
289,23
290,45
291,68
292,75
293,13
294,8
295,18
296,9
297,69
298,47
299,31
300,21
301,58
302,64
303,78
304,40
305,13
306,50
307,64
308,85
309,69
310,66
311,10
312,60
313,9
314,56
315,56
316,63
317,92
318,48
319,98
320,53
321,17
322,61
323,29
324,86
325,22
326,44
327,24
328,84
329,57
330,94
331,1
332,16
333,75
334,32
335,80
336,2
337,17
338,0
339,10
340,75
341,82
342,38
343,28
344,38
345,75
346,36
347,18
348,74
349,80
350,44
351,42
352,81
353,34
354,52
355,3
356,38
357,86
358,94
359,59
360,98
361,94
362,23
363,79
364,0
365,79
366,83
367,46
368,2
369,68
370,14
371,94
372,72
373,42
374,90
375,26
376,45
377,16
378,67
379,81
380,71
381,70
382,45
383,53
384,99
385,41
386,6
387,36
388,59
389,45
390,88
391,21
392,25
393,30
394,3
395,51
396,23
397,91
398,72
399,36
400,92
401,4
402,87
403,55
404,77
405,30
406,70
407,34
408,61
409,94
410,25
411,5
412,29
413,76
414,5
415,37
416,77
417,13
418,23
419,34
420,81
421,87
422,93
423,12
424,35
425,38
426,77
427,41
428,47
429,75
430,42
431,44
432,24
433,73
434,38
435,17
436,5
437,14
438,85
439,69
440,55
441,5
442,71
443,80
444,72
445,77
446,61
447,78
448,32
449,6
450,33
451,49
452,24
453,93
454,31
455,7
456,80
457,38
458,3
459,90
460,74
461,11
462,7
463,54
464,66
465,18
466,1
467,60
468,44
469,67
470,72
471,74
472,23
473,59
474,13
475,22
476,59
477,55
478,86
479,90
480,32
481,63
482,84
483,40
484,46
485,6
486,12
487,18
488,8
489,71
490,35
491,68
492,68
493,84
494,69
495,64
496,68
497,99
498,16
499,75
500,60
501,73
502,41
503,4
504,65
505,49
506,58
507,53
508,15
509,81
510,18
511,52
512,70
513,56
514,11
515,45
516,60
517,15
518,57
519,46
520,93
521,77
522,32
523,75
524,39
525,38
526,83
527,79
528,74
529,34
530,92
531,73
532,15
533,56
534,21
535,91
536,18
537,47
538,15
539,76
540,73
541,11
542,82
543,62
544,23
545,4
546,96
547,64
548,19
549,31
550,89
551,64
552,59
553,98
554,81
555,90
556,78
557,26
558,48
559,50
560,71
561,84
562,33
